severity,method,phase,num_seeds,token_f1_mean,token_f1_std,rouge_l_mean,rouge_l_std,bertscore_mean,bertscore_std,em_mean,em_std,objective_gap_mean,objective_gap_std
extreme,adaptive_probdpp,post,30,17.749623521621498,0.8919923601226658,17.74644891844689,0.8908412190039208,12.078603766190922,0.9102851815869896,14.244444444444445,0.7526878189168796,0.8662425542499289,0.06565914015695101
extreme,adaptive_probdpp,pre,30,17.158450680280747,0.6875013793334784,17.154410276240345,0.6892687113172333,9.181360990489797,0.723921740154368,12.666666666666663,0.6608945522512666,0.2707029154451198,0.03609941939493593
extreme,online_probdpp,post,30,16.079281165858124,1.6941975443190678,16.079281165858124,1.6941975443190678,10.943400684356329,1.7237209422736572,12.533333333333333,1.332183412176477,1.2556172013424864,0.10394595123593366
extreme,online_probdpp,pre,30,17.346246094742824,0.745399444891942,17.34220569070242,0.7465261807844507,9.298567713645873,0.8114509328678954,12.81111111111111,0.7715403974710316,0.284084574956729,0.0355285343592271
extreme,oracle_probdpp,post,30,16.49067420234087,0.6920010107122149,16.49067420234087,0.6920010107122149,11.573954530865366,0.7273713052974516,13.3,0.6856492853702509,0.0,0.0
extreme,oracle_probdpp,pre,30,17.14774166163055,0.16966157852834582,17.143701257590145,0.17083721616535777,8.896318624004168,0.1617923957824124,13.211111111111109,0.16337750595118725,0.0,0.0
extreme,static_probdpp,post,30,13.029033352456274,1.4682161534020595,13.010977796900715,1.468774657114141,8.942928127620835,1.6443501272613403,9.666666666666668,1.4303765278744798,2.957498335028736,1.3550430849800884e-15
extreme,static_probdpp,pre,30,17.14774166163055,0.16966157852834582,17.143701257590145,0.17083721616535777,8.896318624004168,0.1617923957824124,13.211111111111109,0.16337750595118725,0.0,0.0
large,adaptive_probdpp,post,30,15.387622799539457,1.4640203847061675,15.387622799539457,1.4640203847061675,10.174908723671559,1.4341794590781978,11.855555555555558,1.3580562324600656,0.270535604295531,0.032856806248767086
large,adaptive_probdpp,pre,30,17.158450680280747,0.6875013793334784,17.154410276240345,0.6892687113172333,9.181360998490065,0.7239217417984188,12.666666666666663,0.6608945522512666,0.2707029154451198,0.03609941939493593
large,online_probdpp,post,30,14.611334527770747,1.2737613727988064,14.611334527770747,1.2737613727988064,9.543575802623556,1.4125583558493588,11.277777777777779,1.3306966266331413,0.4163101444084001,0.02530792757010055
large,online_probdpp,pre,30,17.346246094742824,0.745399444891942,17.34220569070242,0.7465261807844507,9.298567721646142,0.8114509330504966,12.81111111111111,0.7715403974710316,0.284084574956729,0.0355285343592271
large,oracle_probdpp,post,30,18.467592868279144,1.3446969341471213,18.45925953494581,1.3418501983603184,12.520000776402084,1.5043757542417888,13.999999999999998,1.2624855372639983,0.0,0.0
large,oracle_probdpp,pre,30,17.14774166163055,0.16966157852834582,17.143701257590145,0.17083721616535777,8.896318623951185,0.16179239575072396,13.211111111111109,0.16337750595118725,0.0,0.0
large,static_probdpp,post,30,13.95482962208453,1.3746410178312412,13.932607399862302,1.37287789311391,9.501625052734848,1.6190472947845158,10.955555555555554,1.3861198450265768,0.7483163414253321,3.387607712450221e-16
large,static_probdpp,pre,30,17.14774166163055,0.16966157852834582,17.143701257590145,0.17083721616535777,8.896318623951185,0.16179239575072396,13.211111111111109,0.16337750595118725,0.0,0.0
moderate,adaptive_probdpp,post,30,15.6675687573256,1.5076462324719349,15.662013201770044,1.5092021438492056,10.805116115051478,1.615942170317339,12.311111111111112,1.4488291833595424,0.058457385654514755,0.014413628942758303
moderate,adaptive_probdpp,pre,30,17.158450680280747,0.6875013793334784,17.154410276240345,0.6892687113172333,9.181360998490065,0.7239217417984188,12.666666666666663,0.6608945522512666,0.2707029154451198,0.03609941939493593
moderate,online_probdpp,post,30,15.814984077830031,1.2456760430079838,15.8066507444967,1.2454862893679322,11.046325482923278,1.2705914778803247,12.577777777777781,1.1807307735645758,0.07144970745890603,0.014077486217880563
moderate,online_probdpp,pre,30,17.346246094742824,0.745399444891942,17.34220569070242,0.7465261807844507,9.298567721646142,0.8114509330504966,12.81111111111111,0.7715403974710316,0.284084574956729,0.0355285343592271
moderate,oracle_probdpp,post,30,16.723162723165306,0.9109473901814884,16.718996056498636,0.9098500651446315,11.917209978976445,0.8991916568334877,13.399999999999999,0.8230398751065016,0.0,0.0
moderate,oracle_probdpp,pre,30,17.14774166163055,0.16966157852834582,17.143701257590145,0.17083721616535777,8.896318623951185,0.16179239575072396,13.211111111111109,0.16337750595118725,0.0,0.0
moderate,static_probdpp,post,30,15.077108479755537,0.9527039005369975,15.049330701977764,0.9522756745845005,10.588446502266814,1.0772699740231229,11.966666666666669,0.91119053947773,0.11008545841589475,1.4115032135209254e-17
moderate,static_probdpp,pre,30,17.14774166163055,0.16966157852834582,17.143701257590145,0.17083721616535777,8.896318623951185,0.16179239575072396,13.211111111111109,0.16337750595118725,0.0,0.0
slight,adaptive_probdpp,post,30,17.240434926553924,1.0388514433278213,17.2182127043317,1.0344219444391827,12.35988370436249,1.0757226750469695,13.999999999999996,0.9980824526939038,0.04560173054842994,0.010505718443414058
slight,adaptive_probdpp,pre,30,17.158450680280747,0.6875013793334784,17.154410276240345,0.6892687113172333,9.181360998490065,0.7239217417984188,12.666666666666663,0.6608945522512666,0.2707029154451198,0.03609941939493593
slight,online_probdpp,post,30,17.215125943097544,0.9922979718534702,17.185959276430882,0.9883045485054193,12.330762005565738,1.0317586956532976,13.822222222222221,1.0008935981868619,0.05493138254017551,0.013426018836415463
slight,online_probdpp,pre,30,17.346246094742824,0.745399444891942,17.34220569070242,0.7465261807844507,9.298567721646142,0.8114509330504966,12.81111111111111,0.7715403974710316,0.284084574956729,0.0355285343592271
slight,oracle_probdpp,post,30,17.749021234756533,0.6646432202465057,17.747632345867643,0.6631338650343971,12.936718034951067,0.7257799333378449,13.42222222222222,0.66050795113468,0.0,0.0
slight,oracle_probdpp,pre,30,17.14774166163055,0.16966157852834582,17.143701257590145,0.17083721616535777,8.896318623951185,0.16179239575072396,13.211111111111109,0.16337750595118725,0.0,0.0
slight,static_probdpp,post,30,15.865961670863634,0.6230381134031204,15.8326283375303,0.6169208427235108,11.160314092789934,0.6800815478692506,12.577777777777776,0.6428703195552012,0.00703945730653773,1.7643790169011568e-18
slight,static_probdpp,pre,30,17.14774166163055,0.16966157852834582,17.143701257590145,0.17083721616535777,8.896318623951185,0.16179239575072396,13.211111111111109,0.16337750595118725,0.0,0.0
