failure_mode,method,num_seeds,token_f1_mean,token_f1_std,rouge_l_mean,rouge_l_std,bertscore_mean,bertscore_std,em_mean,em_std,mean_selected_true_alpha_mean,mean_selected_true_alpha_std,mean_num_survivors_mean,mean_num_survivors_std
correlated,highest_alpha,20,17.512940867855345,0.38125526749033933,17.48805197896645,0.381550429903898,10.663012315220731,0.32941837299057714,13.070000000000002,0.36863903325896624,0.9299999999999999,1.1390647892519134e-16,2.79235,0.013815609021377857
correlated,kdpp,20,14.649818361623844,0.5249091957439663,14.649818361623844,0.5249091957439663,8.632064353654973,0.5643861505705327,10.435,0.5264328817117794,0.6913300000000001,1.1390647892519134e-16,2.0717,0.030262187627466783
correlated,probdpp,20,18.797455931867695,0.47894244512203205,18.77523370964547,0.47894244512203266,11.912571946754746,0.42598475598537433,13.835000000000003,0.42953463189829055,0.9169833333333333,0.0,2.7476499999999997,0.018938334834820818
correlated,random,20,16.201587899569965,0.7419149766356443,16.188567114799184,0.7457950585995631,9.832790495199358,0.8479417553801686,12.294999999999998,0.6082546211994827,0.698111,0.0046649335252843364,2.092,0.03344595011279196
independent,highest_alpha,20,17.433176465934594,0.43228490929079383,17.408691617449744,0.430126929786186,10.678227896391038,0.3877849615336349,13.015,0.40558599581346483,0.9299999999999999,1.1390647892519134e-16,2.78395,0.011722560345446385
independent,kdpp,20,14.734815468381694,0.4969400957960392,14.734815468381694,0.4969400957960392,8.729805661014908,0.6187309375123231,10.760000000000002,0.46385115579983427,0.6913300000000001,1.1390647892519134e-16,2.0694999999999997,0.02327297958894325
independent,probdpp,20,18.872952475700536,0.6499349660284205,18.85113429388236,0.651055560976681,12.048827273345363,0.6444620957207996,13.975,0.5359448125556054,0.9169833333333333,0.0,2.7463,0.014444448942869269
independent,random,20,15.698988609056528,0.9067284570028492,15.68956364513156,0.9047237960950442,9.410819672832961,1.035431936357133,11.975000000000001,0.687386354243376,0.6960921666666666,0.004455131383390929,2.0794,0.024754372287909516
