severity,method,num_seeds,token_f1_mean,token_f1_std,rouge_l_mean,rouge_l_std,bertscore_mean,bertscore_std,em_mean,em_std,objective_gap_mean,objective_gap_std,mean_selected_true_alpha_mean,mean_selected_true_alpha_std,mean_num_survivors_mean,mean_num_survivors_std
extreme,adaptive_probdpp,30,17.45403710095112,0.5509943129265675,17.450429597343618,0.5489843399567087,10.62998237834036,0.5739083874583172,13.455555555555554,0.48725781553453706,0.5684727348475246,0.03973028695907211,0.8539275132275131,0.006908299038749274,2.558,0.02274462590729586
extreme,online_probdpp,30,16.712763630300476,0.8147707222548065,16.710743428280274,0.8135419209618168,10.120984199001102,0.8863329636950364,12.672222222222222,0.7224947908883438,0.7698508881496076,0.05751627348836992,0.8168432539682539,0.00998625871954119,2.4453888888888886,0.03504426137654836
extreme,oracle_probdpp,30,16.819207931985705,0.3542067661551243,16.817187729965504,0.3532420594105637,10.235136577434767,0.38189385659966074,13.255555555555556,0.36549796329797524,0.0,0.0,0.9616845238095237,0.0,2.8886111111111115,0.010668133280399946
extreme,static_probdpp,30,15.088387507043413,0.7215159564192221,15.077339527245432,0.7205968456257865,8.919623375812503,0.8168511792495687,11.438888888888892,0.710462767180974,1.478749167514368,6.775215424900442e-16,0.7108670634920635,0.0,2.1345,0.01943231696244006
large,adaptive_probdpp,30,16.2730367399101,0.792165331423842,16.2710165378899,0.7911631946881343,9.678134861080814,0.7971462358929522,12.261111111111113,0.7576978306384933,0.2706192598703254,0.024233693389996917,0.8293796296296295,0.004949813271289773,2.4859444444444447,0.022724753720844856
large,online_probdpp,30,15.978790311256786,0.6945446858993114,15.976770109236584,0.6930589811352119,9.421071762134847,0.7689516843799356,12.044444444444446,0.7491161245571477,0.3501973596825645,0.02167541139453464,0.8145777777777777,0.004143897158578108,2.4426111111111113,0.02521434295548636
large,oracle_probdpp,30,17.807667264954844,0.679114023143942,17.801480396267984,0.6756303221547381,10.708159700176635,0.7527950962294121,13.605555555555554,0.6380095564528478,0.0,0.0,0.8857321428571431,2.2584051416334807e-16,2.658611111111111,0.02063217056745105
large,static_probdpp,30,15.551285641857532,0.6731913955266133,15.538154328726222,0.6718718366861978,9.198971838343018,0.8004654782549671,12.083333333333334,0.6930829565602732,0.37415817071266605,1.6938038562251105e-16,0.8250535714285715,1.1292025708167404e-16,2.4797222222222226,0.026085929815803866
moderate,adaptive_probdpp,30,16.413009718803178,0.7893191326119993,16.408211739005193,0.7893800864506735,9.993238556770772,0.8681326766501732,12.488888888888887,0.798625895248796,0.1645801505498173,0.020837535487435048,0.8798056878306877,0.00432769768252305,2.634333333333333,0.01720175523432896
moderate,online_probdpp,30,16.58061508628643,0.696618730995359,16.57442821759956,0.6971351463529566,10.17244660228471,0.7350183991420187,12.694444444444445,0.7179730586164816,0.17776714120781756,0.02017699140616129,0.8767971891534393,0.004075025002665405,2.626388888888889,0.021281201269159902
moderate,oracle_probdpp,30,16.935452192397925,0.46346182128444535,16.93134865704439,0.4607651029730111,10.406764301463813,0.45579171638777266,13.305555555555559,0.4084437648779676,0.0,0.0,0.9177043650793654,2.2584051416334807e-16,2.749888888888888,0.01981201565313588
moderate,static_probdpp,30,16.112425070693046,0.4925111550875075,16.096515979783952,0.4940461464383123,9.742382563109,0.5507701676796668,12.58888888888889,0.468823695781999,0.05504272920794737,7.057516067604627e-18,0.910693452380952,3.387607712450221e-16,2.7331666666666665,0.020665878739151215
slight,adaptive_probdpp,30,17.199442803417337,0.6447177433948884,17.186311490286023,0.6438130754283696,10.770622351426278,0.6304829187630804,13.333333333333334,0.6297235299224025,0.15815232299677492,0.02043733369522101,0.9297198082010582,0.004114975546313967,2.790444444444444,0.013166581793217858
slight,online_probdpp,30,17.280686018920186,0.6377364255079311,17.264082483566654,0.6364282200413048,10.814664863605941,0.6328566954691652,13.316666666666666,0.6393093735397483,0.1695079787484523,0.021277587669388177,0.9271821097883597,0.004265888447192508,2.782833333333333,0.013548196922348911
slight,oracle_probdpp,30,17.448381448193537,0.349060827503907,17.445666801728894,0.3455733592900675,10.916518329451126,0.38331836116762025,13.316666666666666,0.34282464268512536,0.0,0.0,0.967325396825397,2.2584051416334807e-16,2.9049444444444443,0.010194312640738199
slight,static_probdpp,30,16.506851666247094,0.3363407246175168,16.488164797560223,0.3321216506711054,10.028316358370558,0.3674244365363794,12.894444444444444,0.34319697474456073,0.003519728653268865,8.821895084505784e-19,0.9677867063492062,2.2584051416334807e-16,2.906999999999999,0.009111905394777286
